epoch,acc,loss,val_acc,val_loss
0,0.7780241245512028,0.4235634162887766,0.9553451766857365,0.1730284961932379
1,0.8008654613960995,0.3966106556188534,0.971598848019393,0.1603318814310085
2,0.809177882977028,0.38868305836991707,0.9931848641590034,0.13035096269636398
3,0.8275422037252885,0.367193723919455,0.9909036471297183,0.12546461088376631
4,0.8347496292848632,0.3568136460651649,0.9948672617181012,0.14283438157628556
5,0.8369025892551614,0.3533842801755383,0.9928426816046108,0.14380137268364074
6,0.837957682224205,0.3519563332065775,0.9931848641590034,0.12561596702700273
7,0.8406952207072426,0.34871814295001946,0.9813510507855941,0.1169395119613807
8,0.8400536101356912,0.34872128658002605,0.9945821095554478,0.13381281041885523
9,0.8403530283951631,0.34930277191628556,0.9958082637426814,0.1432568889080793
10,0.8411443481304443,0.3483977193834845,0.9952949898770994,0.11366207351845255
11,0.8409946389871108,0.3470820842664109,0.9909606775554505,0.11994455445125168
12,0.8408021558115661,0.34787525051850554,0.9958367789555475,0.12121601523221476
13,0.8415007984487282,0.34701255869128433,0.9954375659754225,0.1362339165412794
14,0.8417788297090915,0.34667730588413664,0.9929852576689411,0.1337529427207187
15,0.841771700695791,0.3461057642540421,0.9916165274173772,0.1403981542535611
16,0.8423919242614349,0.3458881297846592,0.9919872252186288,0.13199548593976512
17,0.842684213521204,0.34587684849573946,0.9954375659414297,0.11881514241477918
18,0.8435753393475083,0.34462223355726873,0.9953235050899655,0.12303682004196302
19,0.8445591422311389,0.3438788458111757,0.9946391399811799,0.12197618760803156
20,0.843931789672591,0.3445165382067807,0.995551626792894,0.11613203782539698
21,0.8452649138748027,0.34297822746417944,0.995095383387037,0.13265762977594625
22,0.8446803353484659,0.343560708827571,0.995637172465485,0.10665027601359973
23,0.8443381430363864,0.34331096080060125,0.9803530183692747,0.13341038161462482
24,0.8432830500673429,0.3443764217926211,0.9944110183122442,0.12110760918297607
