epoch,acc,loss,val_acc,val_loss
<<<<<<< HEAD
0,0.7738465267480324,0.4380104580089523,0.9303088197400428,0.14607163603989107
1,0.8184669784418843,0.37973986321481695,0.9948102312430795,0.11389366206943932
2,0.8426057944564845,0.34923619741015793,0.9925290142137945,0.11851421617475648
3,0.8468831983574769,0.34342748702619424,0.9895919472885899,0.13478808889842775
4,0.8489434812364549,0.3393995504861576,0.9928997119963501,0.10567529131537674
5,0.8488222881259267,0.33830030546318074,0.9922438621004306,0.13153893031083663
6,0.8517950838371164,0.3330930821114015,0.9938692292184995,0.11532634873881258
7,0.8512033762974792,0.33359530407672355,0.9944395334758208,0.13078036526717698
8,0.8585177369681761,0.3258227179324299,0.9954660811542958,0.1106893692301903
9,0.8638145887989049,0.3198569680791333,0.9947246856197781,0.12337946018021435
10,0.8647698756701266,0.3183765962177717,0.993726653169466,0.13241099532164718
11,0.8667945135165963,0.3156475527393678,0.9920727708232342,0.11629864112727775
12,0.8677426713813163,0.31118328935460654,0.9876243976161282,0.11263494772918414
13,0.8704374358389415,0.2803316465703794,0.9931848641250107,0.10912095782362931
14,0.8716351089312193,0.27723010489786176,0.9941543813624568,0.07401442717928747
15,0.8721483973993385,0.2749504735216361,0.993726653169466,0.0797641037007629
16,0.872547621763431,0.27261758754880777,0.992443468590493,0.07030200563022118
17,0.8737096498232007,0.270809240811728,0.9903618580512703,0.10390577360746739
18,0.8736027147256759,0.27039197910616575,0.992414953377627,0.08772168522311079
19,0.8750427740390099,0.26679185830592916,0.9932133793378768,0.059477894353197
20,0.8746720657009239,0.2665586060292707,0.9908751318828595,0.06937911845805268
=======
0,0.7735328504619596,0.4378234777011906,0.9304513958043731,0.1453077038150133
1,0.8123289038439603,0.3876309136449917,0.9951809290256352,0.10704566487642156
2,0.8439816927113037,0.3476808751113496,0.9948102312583763,0.10517916837168323
3,0.8470899395460249,0.34231610047010896,0.9894208560113935,0.12961563836036286
4,0.8489933842819665,0.3394969668283122,0.9919016795460378,0.10534278291296098
5,0.8501126383027261,0.33711923415282574,0.9934415010255085,0.14436364646877486
6,0.8518235998631231,0.33321414409103123,0.9958367789215546,0.11745008278589579
7,0.8525650165392951,0.3330121941688573,0.9938121988080642,0.12904095223258535
8,0.8556162313220029,0.32889266960383196,0.9957797484958225,0.1145173033984136
9,0.8629234629861983,0.31449929599895493,0.9955231115800279,0.07493487637819446
10,0.8671723508611839,0.2830520950175343,0.9914169209273147,0.11488942400370125
11,0.868655184213528,0.27938736819671606,0.9892497647494939,0.09172411910774632
12,0.87034475875442,0.2771578264832021,0.985742393566968,0.07466860667873645
13,0.8705942739819779,0.28599451143378285,0.9917591034817075,0.0738571819640655
14,0.8719487852172921,0.27229378937831883,0.9896774929424849,0.06764420016211879
15,0.8709222082810539,0.27299631809792607,0.9941828965753229,0.06283226516546594
16,0.8723907836203947,0.2699169757987042,0.9921012860361003,0.07145388747614764
17,0.8730894262575567,0.26791567341626893,0.9900767059226098,0.0660017086816255
18,0.8731535873160716,0.2660442935478134,0.9930422880606804,0.06469828482826584
19,0.8733389414851146,0.2659315689437893,0.9948102312583763,0.0626095206595165
20,0.8741801642523098,0.26434565895049317,0.9917876186945735,0.06928471326101407
21,0.8739876810767652,0.2635913375670328,0.9887079757050387,0.07098813117879989
22,0.8744011634538611,0.2624616930925195,0.9885653996407083,0.06681415630971518
23,0.8746934527204289,0.2625737516850053,0.98753885197753,0.06715343948763318
24,0.8748716778829703,0.2614861689537706,0.9887650061307708,0.06311154878724341
>>>>>>> 07a226e8410d806621f92299d663b323e18cefac
